stop_id,destination_stop_id,first_departure_time,last_departure_time,last_departure_day_offset,source_issue
O18,O21,06:00,01:01,1,
O19,O01,06:00,00:05,1,
O19,O21,06:03,01:04,1,
O20,O01,06:03,00:03,1,
O20,O21,06:00,01:06,1,
O21,O01,06:00,00:00,1,
O50,O01,06:02,00:09,1,
O50,O54,06:05,00:48,1,
O51,O01,06:00,00:07,1,
O51,O54,06:07,00:50,1,
O52,O01,06:04,00:05,1,
O52,O54,06:00,00:52,1,
O53,O01,06:02,00:03,1,
O53,O54,06:02,00:54,1,
O54,O01,06:00,00:00,1,
R01,R28,06:00,00:00,1,
R02,R01,06:05,01:01,1,
R02,R28,06:03,00:03,1,
R03,R01,06:04,00:59,1,
R03,R28,06:05,00:05,1,
R04,R01,06:02,00:57,1,
R04,R28,06:07,00:07,1,
R05,R01,06:00,00:55,1,
R05,R28,06:00,00:25,1,
R06,R01,06:08,00:54,1,
R06,R28,06:01,00:27,1,
R07,R01,06:06,00:52,1,
R07,R28,06:03,00:28,1,
R08,R01,06:03,00:48,1,
R08,R28,06:06,00:32,1,
R09,R01,06:01,00:46,1,
R09,R28,06:08,00:34,1,
R10,R01,06:00,00:45,1,
R10,R28,06:00,00:36,1,
R11,R01,06:03,00:43,1,
R11,R28,06:02,00:38,1,
R12,R01,06:01,00:41,1,
R12,R28,06:03,00:40,1,
R13,R01,06:00,00:40,1,
R13,R28,06:05,00:41,1,
R14,R01,06:03,00:37,1,
R14,R28,06:07,00:44,1,
R15,R01,06:00,00:33,1,
R15,R28,06:00,00:47,1,
R16,R01,06:05,00:30,1,
R16,R28,06:02,00:49,1,
R17,R01,06:03,00:28,1,
R17,R28,06:04,00:52,1,
R18,R01,06:01,00:26,1,
R18,R28,06:05,00:54,1,
R19,R01,06:00,00:24,1,
R19,R28,06:07,00:55,1,
R20,R01,06:00,00:21,1,
R20,R28,06:00,00:59,1,
R21,R01,06:02,00:19,1,
R21,R28,06:02,01:00,1,
R22,R01,06:00,00:17,1,
R22,R22A,06:00,00:12,1,
R22,R28,06:03,01:02,1,
R22A,R22,06:05,00:02,1,
R23,R01,06:02,00:13,1,
R23,R28,06:06,01:06,1,
R24,R01,06:00,00:11,1,
R24,R28,06:02,01:08,1,
R25,R01,06:08,00:09,1,
R25,R28,06:04,01:10,1,
R26,R01,06:05,00:06,1,
R26,R28,06:07,01:13,1,
R27,R01,06:03,00:03,1,
R27,R28,06:00,01:17,1,
R28,R01,06:00,00:00,1,
