route_id,direction,stop_sequence,stop_id
O-1,1,13,O09
O-1,1,14,O08
O-1,1,15,O07
O-1,1,16,O06
O-1,1,17,O05
O-1,1,18,O04
O-1,1,19,O03
O-1,1,20,O02
O-1,1,21,O01
O-2,0,1,O01
O-2,0,2,O02
O-2,0,3,O03
O-2,0,4,O04
O-2,0,5,O05
O-2,0,6,O06
O-2,0,7,O07
O-2,0,8,O08
O-2,0,9,O09
O-2,0,10,O10
O-2,0,11,O11
O-2,0,12,O12
O-2,0,13,O50
O-2,0,14,O51
O-2,0,15,O52
O-2,0,16,O53
O-2,0,17,O54
O-2,1,1,O54
O-2,1,2,O53
O-2,1,3,O52
O-2,1,4,O51
O-2,1,5,O50
O-2,1,6,O12
O-2,1,7,O11
O-2,1,8,O10
O-2,1,9,O09
O-2,1,10,O08
O-2,1,11,O07
O-2,1,12,O06
O-2,1,13,O05
O-2,1,14,O04
O-2,1,15,O03
O-2,1,16,O02
O-2,1,17,O01
BL-1,0,1,BL01
BL-1,0,2,BL02
BL-1,0,3,BL03
BL-1,0,4,BL04
BL-1,0,5,BL05
BL-1,0,6,BL06
BL-1,0,7,BL07
BL-1,0,8,BL08
BL-1,0,9,BL09
BL-1,0,10,BL10
BL-1,0,11,BL11
BL-1,0,12,BL12
BL-1,0,13,BL13
BL-1,0,14,BL14
BL-1,0,15,BL15
BL-1,0,16,BL16
BL-1,0,17,BL17
BL-1,0,18,BL18
BL-1,0,19,BL19
BL-1,0,20,BL20
BL-1,0,21,BL21
BL-1,0,22,BL22
BL-1,0,23,BL23
BL-1,1,1,BL23
BL-1,1,2,BL22
BL-1,1,3,BL21
BL-1,1,4,BL20
BL-1,1,5,BL19
BL-1,1,6,BL18
BL-1,1,7,BL17
BL-1,1,8,BL16
BL-1,1,9,BL15
BL-1,1,10,BL14
BL-1,1,11,BL13
BL-1,1,12,BL12
BL-1,1,13,BL11
BL-1,1,14,BL10
BL-1,1,15,BL09
BL-1,1,16,BL08
BL-1,1,17,BL07
BL-1,1,18,BL06
BL-1,1,19,BL05
BL-1,1,20,BL04
BL-1,1,21,BL03
BL-1,1,22,BL02
BL-1,1,23,BL01
BL-2,0,1,BL05
BL-2,0,2,BL06
BL-2,0,3,BL07
BL-2,0,4,BL08
BL-2,0,5,BL09
BL-2,0,6,BL10
BL-2,0,7,BL11
BL-2,0,8,BL12
BL-2,0,9,BL13
BL-2,0,10,BL14
BL-2,0,11,BL15
BL-2,0,12,BL16
BL-2,0,13,BL17
BL-2,0,14,BL18
BL-2,0,15,BL19
BL-2,0,16,BL20
BL-2,0,17,BL21
BL-2,0,18,BL22
BL-2,0,19,BL23
BL-2,1,1,BL23
BL-2,1,2,BL22
BL-2,1,3,BL21
BL-2,1,4,BL20
BL-2,1,5,BL19
BL-2,1,6,BL18
BL-2,1,7,BL17
BL-2,1,8,BL16
BL-2,1,9,BL15
BL-2,1,10,BL14
BL-2,1,11,BL13
BL-2,1,12,BL12
BL-2,1,13,BL11
BL-2,1,14,BL10
BL-2,1,15,BL09
BL-2,1,16,BL08
BL-2,1,17,BL07
BL-2,1,18,BL06
BL-2,1,19,BL05
