route_id,line_id,from_stop_id,to_stop_id
BR-1,BR,BR01,BR24
R-1,R,R01,R28
R-2,R,R05,R22
R-3,R,R22,R22A
G-1,G,G01,G19
G-2,G,G08,G19
G-3,G,G03,G03A
O-1,O,O01,O21
O-2,O,O01,O54
BL-1,BL,BL01,BL23
BL-2,BL,BL05,BL23
